rank,id,name,win_rate,total_wins,total_matches,hunter_wins,hunter_matches,hunter_win_rate,bounty_wins,bounty_matches,bounty_win_rate,preferred_role
1,1000,Unknown (ID: 1000),1.000,1,1,0,0,0.000,1,1,1.000,Bounty
2,9191,maggit,1.000,2,2,0,0,0.000,2,2,1.000,Bounty
3,3525,DDOS,1.000,1,1,0,0,0.000,1,1,1.000,Bounty
4,6250,Freshwater,1.000,1,1,0,0,0.000,1,1,1.000,Bounty
5,9184,Firefox,1.000,5,5,0,0,0.000,5,5,1.000,Bounty
6,9dde8942-742e-4f9c-b816-bcde61988824,Unknown (ID: 9dde8942-742e-4f9c-b816-bcde61988824),1.000,1,1,1,1,1.000,0,0,0.000,Hunter
7,45307b99-1924-41b1-a347-2c0c86049be5,Unknown (ID: 45307b99-1924-41b1-a347-2c0c86049be5),1.000,1,1,1,1,1.000,0,0,0.000,Hunter
8,opponent-8042,Unknown (ID: opponent-8042),1.000,1,1,0,0,0.000,1,1,1.000,Bounty
9,582a315a-d4a4-4398-bb27-0d5785ed067c,Unknown (ID: 582a315a-d4a4-4398-bb27-0d5785ed067c),1.000,1,1,1,1,1.000,0,0,0.000,Hunter
10,cad75286-0fa8-422e-88d2-a79396775d4f,Unknown (ID: cad75286-0fa8-422e-88d2-a79396775d4f),1.000,1,1,1,1,1.000,0,0,0.000,Hunter
11,740d8f2a-34e9-4e1b-8200-e79e8be08949,Unknown (ID: 740d8f2a-34e9-4e1b-8200-e79e8be08949),1.000,1,1,1,1,1.000,0,0,0.000,Hunter
12,c0fe1d08-0e12-4a46-8a71-1053ecd55a6b,Unknown (ID: c0fe1d08-0e12-4a46-8a71-1053ecd55a6b),1.000,1,1,1,1,1.000,0,0,0.000,Hunter
13,287b4040-3a4f-4c7f-a573-414b11219ab7,Unknown (ID: 287b4040-3a4f-4c7f-a573-414b11219ab7),1.000,1,1,1,1,1.000,0,0,0.000,Hunter
14,aa6f80b2-91ca-4737-b81e-9f924f5c91df,Unknown (ID: aa6f80b2-91ca-4737-b81e-9f924f5c91df),1.000,1,1,1,1,1.000,0,0,0.000,Hunter
15,259b88e2-0ec5-46b2-ae87-fea6265c5136,Unknown (ID: 259b88e2-0ec5-46b2-ae87-fea6265c5136),1.000,1,1,1,1,1.000,0,0,0.000,Hunter
16,8d42a993-66cb-438a-afdc-4d5be1709cc4,Unknown (ID: 8d42a993-66cb-438a-afdc-4d5be1709cc4),1.000,1,1,1,1,1.000,0,0,0.000,Hunter
17,106336c9-c074-4b9d-99a8-991f3102a8f0,Unknown (ID: 106336c9-c074-4b9d-99a8-991f3102a8f0),1.000,1,1,1,1,1.000,0,0,0.000,Hunter
18,5076,kitty,1.000,8,8,8,8,1.000,0,0,0.000,Hunter
19,2772,Varis,1.000,1,1,0,0,0.000,1,1,1.000,Bounty
20,5590,agent 2.0,1.000,1,1,1,1,1.000,0,0,0.000,Hunter
21,0819,R00,1.000,1,1,1,1,1.000,0,0,0.000,Hunter
22,2874,ESP,1.000,2,2,2,2,1.000,0,0,0.000,Hunter
23,9628,Pistol,1.000,2,2,2,2,1.000,0,0,0.000,Hunter
24,8637,Lev,1.000,1,1,0,0,0.000,1,1,1.000,Bounty
25,5780,Sweetpea,1.000,1,1,0,0,0.000,1,1,1.000,Bounty
26,1170,Unknown (ID: 1170),1.000,1,1,0,0,0.000,1,1,1.000,Bounty
27,2452,Calico Jet,1.000,1,1,1,1,1.000,0,0,0.000,Hunter
28,7957,Pr1m,1.000,1,1,1,1,1.000,0,0,0.000,Hunter
29,4293,Zelleo,1.000,1,1,0,0,0.000,1,1,1.000,Bounty
30,0002,Unknown (ID: 0002),1.000,2,2,2,2,1.000,0,0,0.000,Hunter
31,6438,jordan,1.000,1,1,1,1,1.000,0,0,0.000,Hunter
32,9313,Jark The Shark,1.000,4,4,4,4,1.000,0,0,0.000,Hunter
33,9502,Chayna,1.000,1,1,1,1,1.000,0,0,0.000,Hunter
34,6176,Skies,0.867,72,83,72,83,0.867,0,0,0.000,Hunter
35,8696,Clyd3,0.833,5,6,5,6,0.833,0,0,0.000,Hunter
36,7276,R.O.B.B.I.E.,0.833,10,12,10,12,0.833,0,0,0.000,Hunter
37,2652,Salacious,0.833,5,6,5,6,0.833,0,0,0.000,Hunter
38,0362,bubbles,0.833,5,6,0,0,0.000,5,6,0.833,Bounty
39,5413,Commander Mox,0.810,17,21,0,0,0.000,17,21,0.810,Bounty
40,2052,Camilla DeVoid,0.800,4,5,4,5,0.800,0,0,0.000,Hunter
41,9675,doki,0.800,4,5,0,0,0.000,4,5,0.800,Bounty
42,4391,RED,0.800,4,5,4,5,0.800,0,0,0.000,Hunter
43,0901,Kite,0.800,4,5,4,5,0.800,0,0,0.000,Hunter
44,9237,"""Rachael""",0.800,4,5,4,5,0.800,0,0,0.000,Hunter
45,6775,PR34CH3R,0.783,47,60,0,0,0.000,47,60,0.783,Bounty
46,8982,Dis,0.778,7,9,0,0,0.000,7,9,0.778,Bounty
47,5499,haxlotl,0.762,93,122,93,122,0.762,0,0,0.000,Hunter
48,7236,fyrefly,0.750,3,4,3,4,0.750,0,0,0.000,Hunter
49,3452,un1uckyBUG,0.750,3,4,3,4,0.750,0,0,0.000,Hunter
50,2880,Victoream,0.750,3,4,0,0,0.000,3,4,0.750,Bounty
51,4259,Ducky,0.750,3,4,3,4,0.750,0,0,0.000,Hunter
52,8575,Rover,0.750,6,8,0,0,0.000,6,8,0.750,Bounty
53,7739,19,0.737,14,19,14,19,0.737,0,0,0.000,Hunter
54,7475,Statn,0.734,47,64,0,0,0.000,47,64,0.734,Bounty
55,8434,Aurora,0.733,11,15,0,0,0.000,11,15,0.733,Bounty
56,9448,piper,0.727,8,11,0,0,0.000,8,11,0.727,Bounty
57,5222,circuit mouse,0.686,94,137,0,0,0.000,94,137,0.686,Bounty
58,3415,Hot-Lock,0.674,359,533,359,533,0.674,0,0,0.000,Hunter
59,3311,sylvan,0.667,4,6,4,6,0.667,0,0,0.000,Hunter
60,9114,Mr. Wetwick,0.667,2,3,2,3,0.667,0,0,0.000,Hunter
61,2698,Druid,0.667,4,6,0,0,0.000,4,6,0.667,Bounty
